Source: https://gml.noaa.gov/grad/solcalc/table.php?lat=33.46&lon=-112.06&year=2023

Solar Noon Table for 2023
Location: Latitude 33.46000 Longitude -112.06000
Time Zone Offset: America/Phoenix -7.0
All times are in local time. Cells with light green color indicate when daylight saving time is in effect.

Day	Jan	      Feb	      Mar	      Apr	      May	      Jun	      Jul	      Aug	      Sep	      Oct	      Nov	      Dec
01	12:31:36	12:41:46	12:40:39	12:32:13	12:25:24	12:26:02	12:32:03	12:34:37	12:28:24	12:18:04	12:11:47	12:17:06
02	12:32:04	12:41:54	12:40:27	12:31:55	12:25:17	12:26:11	12:32:14	12:34:34	12:28:05	12:17:44	12:11:46	12:17:28
03	12:32:32	12:42:01	12:40:14	12:31:37	12:25:10	12:26:21	12:32:26	12:34:29	12:27:46	12:17:25	12:11:45	12:17:52
04	12:32:59	12:42:07	12:40:02	12:31:20	12:25:04	12:26:31	12:32:37	12:34:24	12:27:26	12:17:06	12:11:45	12:18:16
05	12:33:26	12:42:13	12:39:48	12:31:03	12:24:59	12:26:41	12:32:47	12:34:18	12:27:06	12:16:48	12:11:46	12:18:40
06	12:33:53	12:42:17	12:39:35	12:30:45	12:24:54	12:26:52	12:32:58	12:34:12	12:26:46	12:16:30	12:11:48	12:19:05
07	12:34:19	12:42:21	12:39:21	12:30:29	12:24:50	12:27:03	12:33:08	12:34:05	12:26:26	12:16:12	12:11:51	12:19:30
08	12:34:45	12:42:24	12:39:06	12:30:12	12:24:46	12:27:14	12:33:17	12:33:58	12:26:05	12:15:55	12:11:54	12:19:56
09	12:35:10	12:42:26	12:38:51	12:29:55	12:24:43	12:27:26	12:33:26	12:33:50	12:25:45	12:15:38	12:11:59	12:20:23
10	12:35:35	12:42:28	12:38:36	12:29:39	12:24:40	12:27:37	12:33:35	12:33:41	12:25:24	12:15:21	12:12:04	12:20:50
11	12:35:59	12:42:28	12:38:20	12:29:23	12:24:38	12:27:50	12:33:43	12:33:32	12:25:03	12:15:05	12:12:10	12:21:17
12	12:36:23	12:42:28	12:38:04	12:29:08	12:24:37	12:28:02	12:33:51	12:33:22	12:24:42	12:14:50	12:12:17	12:21:45
13	12:36:46	12:42:27	12:37:48	12:28:52	12:24:36	12:28:14	12:33:59	12:33:12	12:24:21	12:14:35	12:12:25	12:22:13
14	12:37:08	12:42:26	12:37:32	12:28:37	12:24:36	12:28:27	12:34:06	12:33:01	12:23:59	12:14:20	12:12:33	12:22:41
15	12:37:30	12:42:23	12:37:15	12:28:22	12:24:36	12:28:39	12:34:12	12:32:50	12:23:38	12:14:06	12:12:43	12:23:10
16	12:37:51	12:42:20	12:36:58	12:28:08	12:24:37	12:28:52	12:34:18	12:32:38	12:23:17	12:13:53	12:12:53	12:23:39
17	12:38:11	12:42:16	12:36:41	12:27:54	12:24:38	12:29:05	12:34:24	12:32:25	12:22:55	12:13:40	12:13:05	12:24:08
18	12:38:31	12:42:12	12:36:24	12:27:40	12:24:40	12:29:18	12:34:28	12:32:12	12:22:34	12:13:28	12:13:17	12:24:37
19	12:38:50	12:42:06	12:36:06	12:27:27	12:24:43	12:29:31	12:34:33	12:31:59	12:22:13	12:13:16	12:13:30	12:25:06
20	12:39:08	12:42:00	12:35:49	12:27:14	12:24:46	12:29:44	12:34:37	12:31:45	12:21:51	12:13:05	12:13:43	12:25:36
21	12:39:25	12:41:54	12:35:31	12:27:02	12:24:49	12:29:57	12:34:40	12:31:30	12:21:30	12:12:54	12:13:58	12:26:06
22	12:39:42	12:41:46	12:35:13	12:26:50	12:24:53	12:30:10	12:34:43	12:31:15	12:21:09	12:12:45	12:14:13	12:26:35
23	12:39:58	12:41:38	12:34:55	12:26:39	12:24:58	12:30:23	12:34:45	12:31:00	12:20:47	12:12:36	12:14:30	12:27:05
24	12:40:13	12:41:30	12:34:37	12:26:27	12:25:03	12:30:36	12:34:46	12:30:44	12:20:26	12:12:27	12:14:46	12:27:35
25	12:40:28	12:41:21	12:34:19	12:26:17	12:25:09	12:30:49	12:34:47	12:30:28	12:20:05	12:12:20	12:15:04	12:28:05
26	12:40:41	12:41:11	12:34:01	12:26:07	12:25:15	12:31:02	12:34:48	12:30:12	12:19:45	12:12:13	12:15:23	12:28:34
27	12:40:54	12:41:01	12:33:43	12:25:57	12:25:22	12:31:14	12:34:48	12:29:55	12:19:24	12:12:07	12:15:42	12:29:04
28	12:41:06	12:40:50	12:33:25	12:25:48	12:25:29	12:31:27	12:34:47	12:29:37	12:19:04	12:12:01	12:16:02	12:29:33
29	12:41:17	--:--:--	12:33:07	12:25:39	12:25:36	12:31:39	12:34:45	12:29:19	12:18:43	12:11:56	12:16:22	12:30:03
30	12:41:28	--:--:--	12:32:48	12:25:31	12:25:45	12:31:51	12:34:43	12:29:01	12:18:23	12:11:53	12:16:44	12:30:32
31	12:41:37	--:--:--	12:32:31	--:--:--	12:25:53	--:--:--	12:34:41	12:28:43	--:--:--	12:11:49	--:--:--	12:31:00
